"ScanNumber, ScanName, ScanPointNumber, corr_Xcoord in mm per BX, corr_Ycoord in mm per BX"
Scan_1
2,Y2,6,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0012657918130698819, '1783': -0.0012384857763988988, '872': -0.0012197665248617703, '2063': -0.0013494839594321952, '41': -0.0012429864389863815}"
2,Y2,7,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.00140838828974806, '1783': -0.0013805760766590837, '872': -0.0013527953558161799, '2063': -0.0015017329313082302, '41': -0.001363911024962284}"
2,Y2,8,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0015278138582511033, '1783': -0.0014636411309364617, '872': -0.0014241254226606203, '2063': -0.0015869044904468727, '41': -0.0014503646203577972}"
2,Y2,9,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0015694031745587568, '1783': -0.0015474049800879204, '872': -0.0014912434438156131, '2063': -0.0016733241756208518, '41': -0.0014547644210864993}"
2,Y2,10,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0014639323893783263, '1783': -0.0014480806160457496, '872': -0.0013824409449459778, '2063': -0.0015605850948210462, '41': -0.0013245658618751648}"
2,Y2,11,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0011557350825319697, '1783': -0.0011463755020873964, '872': -0.0010856076073919997, '2063': -0.0012317961609366627, '41': -0.0010243759996077372}"
2,Y2,12,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0006430583101890659, '1783': -0.00063902963305681687, '872': -0.00060188419684457288, '2063': -0.00068528146406048387, '41': -0.00056218350895034623}"
2,Y2,13,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
2,Y2,14,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.00064303854330898446, '1783': 0.00063902946879433879, '872': 0.00060186626901385844, '2063': 0.00068527234935773123, '41': 0.00056216192819326621}"
2,Y2,15,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0011556877603316835, '1783': 0.001146341298985571, '872': 0.0010855564531871847, '2063': 0.0012317492614282318, '41': 0.0010243450580265717}"
