Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
7,Y,2269,0.09848951322527853,0.00037040525392242896,0.5000071701213135,0.020324241677016464,0.9507341006964456,0.0035501658877770126,0.29215344592749243,0.0028435233153775996,0.041052500354867176,0.024106306728081055,0.09848951322527853,0.00037040525392242896,0.9507341006964456,0.0035501658877770126,0.2347140009578428,0.0012439355481193386,-999,120.11197641680467,30
7,Y,2389,0.09904167788777513,0.00042489729024021173,0.5134089232713387,0.029245337695849694,0.9361279649354991,0.015676777194929492,0.292637016522023,0.0029133672751261996,0.0973203751205435,0.03379475743121793,0.09904167788777513,0.00042489729024021173,0.9361279649354991,0.015676777194929492,0.23240375593077192,0.004017607536196317,-999,132.14596229030613,30
7,Y,2589,0.0982420506301691,nan,0.500522457241737,nan,0.956290634918765,nan,0.29252312290035304,nan,0.02987930765017789,nan,0.0982420506301691,nan,0.956290634918765,nan,0.23549259526543895,nan,-999,80.71980906767345,30
7,Y,sum,0.0017603471181259448,0.03188979280119074,1.0,2.290093268443689,0.83,1.4149492572848628,0.22000000042675874,3.6223691592451877,-5.2140821649366264e-17,1.4142135623730951,0.0017603471181259448,0.03188979280119074,0.83,1.4149492572848628,0.0036624047633515427,0.06663988393855715,-999,0.04840000019496934,30
8,X,644,0.1079435348485906,0.0004484710149460285,1.8187237738775826,0.27591238177357524,0.03590689590184881,0.022203007512447637,0.284130416907068,0.0025139305067087836,1.004714062453556,0.028488153260047406,0.1079435348485906,0.0004484710149460285,0.03590689590184881,0.022203007512447637,0.009715483816821368,0.006007699185816361,-999,27.16070784882843,30
8,X,1215,0.10700263581658023,1.0000009999995,0.5444983020127632,2.5818977208474765,0.9633181417473965,1.4120752947708721,0.29455886335064707,0.8884325534106177,0.9913452775381254,1.0000349035464648,0.10700263581658023,1.0000009999995,0.9633181417473965,1.4120752947708721,0.25837717725276055,2.444205033417961,-999,56.493082393851054,30
8,X,2269,0.1081232385528195,0.0009326835511724359,2.5702839551710097,1.2495653290189557,0.015135214518903872,0.01229440845977059,0.28657389161293323,0.003029656275754994,1.016790243057226,0.022260605063076172,0.1081232385528195,0.0009326835511724359,0.015135214518903872,0.01229440845977059,0.004102017986985126,0.0033322770610520313,-999,41.300800850008926,30
8,X,2389,0.10772955743548222,0.0004129185035486412,0.5581882246053292,0.053320386936479836,0.9575262202354738,0.015043934032258954,0.2857170606970584,0.002584582495362614,-0.002174290710093493,0.027045945873884206,0.10772955743548222,0.0004129185035486412,0.9575262202354738,0.015043934032258954,0.25856842206606895,0.004181576960982647,-999,75.65732176370412,30
8,X,2589,0.10783628215397888,0.0003684472609074305,0.5000000018660004,0.05111682304868037,0.9766702520685964,0.004733745329589367,0.28683729468542213,0.002730941789455099,-0.03376143063978896,0.02329583642162284,0.10783628215397888,0.0003684472609074305,0.9766702520685964,0.004733745329589367,0.2639993153081916,0.0015655337367425726,-999,50.004169013421375,30
8,X,sum,0.0017603471181259448,0.03188979280119074,1.0,2.290093268443689,0.83,1.4149492572848628,0.22000000042675874,3.6223691592451877,-5.2140821649366264e-17,1.4142135623730951,0.0017603471181259448,0.03188979280119074,0.83,1.4149492572848628,0.0036624047633515427,0.06663988393855715,-999,0.04840000019496934,30
